Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"C1,C4,C5,C9,C10,C11,C13,C15,C16,C17,C19,C20,C21",12,0.1uF,,,,Capacitor_SMD:C_0805_2012Metric,
"C2,C3,C12,C14",4,10uF,,,,T499A225K006ATE6K5:RESC3216X125N,
"C6,C7,C18,C22",4,1uF,,,,Capacitor_SMD:C_0805_2012Metric,
C8,1,4.7uF,,,,T499A225K006ATE6K5:RESC3216X125N,
,,,,,,,
D1,1,LTST-C170GKT,,,,LTST-C170GKT:LED_LTST-C170GKT,
"D2,D4,D6",3,LTST-C170KRKT,,,,LTST-C170KRKT:DIOC200X125X110,
"D3,D5",2,LTST-C170TBKT,,,,LTST-C170TBKT:DIOC200X125X110,
F1,1,Fuse,,,,0ZCH0110AF2E:FUSC3225X100N,
J1,1,B2B-PH-SM4-TB_LF__SN_,,,,B2B-PH-SM4-TB_LF__SN_:B2B-PH-SM4-TB_LF__SN_,
J2,1,SS-52400-003,,,,SS-52400-003:BELFUSE_SS-52400-003,
J3,1,GSD090012SEU,,,,GSD090012SEU:AMPHENOL_GSD090012SEU,
J4,1,Conn_01x04_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
J5,1,Conn_01x05_Socket,,,,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,
MK1,1,CMC-5044PF-A,,,,CMC-5044PF-A:CUI_CMC-5044PF-A,
Q1,1,TEMT6000X01,,,,TEMT6000X01:TRANS_TEMT6000X01,
"Q2,Q3",2,BC817,,,,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BC818-D.pdf
"R1,R2",2,5k1,,,,Resistor_SMD:R_0805_2012Metric,
"R3,R4,R5,R6,R15,R16",6,470R,,,,Resistor_SMD:R_0805_2012Metric,
"R7,R8,R30,R31,R32",5,10k,,,,Resistor_SMD:R_0805_2012Metric,
R9,1,2k,,,,Resistor_SMD:R_0805_2012Metric,
R10,1,20k,,,,Resistor_SMD:R_0805_2012Metric,
R11,1,22K1,,,,Resistor_SMD:R_0805_2012Metric,
R12,1,47K5,,,,Resistor_SMD:R_0805_2012Metric,
"R13,R17,R18,R20",4,50R,,,,Resistor_SMD:R_0805_2012Metric,
R14,1,1K,,,,Resistor_SMD:R_0805_2012Metric,
"R19,R27",2,10K,,,,Resistor_SMD:R_0805_2012Metric,
"R21,R22,R28",3,4k7,,,,Resistor_SMD:R_0805_2012Metric,
"R23,R24",2,2K,,,,Resistor_SMD:R_0805_2012Metric,
"R25,R26",2,1M,,,,Resistor_SMD:R_0805_2012Metric,
R29,1,100K,,,,Resistor_SMD:R_0805_2012Metric,
S1,1,BOOT,,,,USLPT2819DT2TR:SW_USLPT2819DT2TR,
S2,1,RESET,,,,USLPT2819DT2TR:SW_USLPT2819DT2TR,
"TP1,TP2,TP3,TP4,TP5",5,TestPoint,,,,TestPoint:TestPoint_Pad_D1.0mm,
U1,1,MCP73871,,,,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,http://www.mouser.com/ds/2/268/22090a-52174.pdf
U2,1,USBLC6-2SC6,,,,Package_TO_SOT_SMD:SOT-23-6,https://www.st.com/resource/en/datasheet/usblc6-2.pdf
U3,1,W25Q32JVSSIQ,,,,W25Q32JVSSIQ:SOIC127P790X216-8N,
U4,1,CP2102N-Axx-xQFN20,,,,CP2102:QFN50P500X500X100-29N,https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf
U5,1,ESP32-C3-WROOM-02-H4,,,,ESP32-C3-WROOM-02-H4:MODULE_ESP32-C3-WROOM-02-H4,
U6,1,BME280,,,,BME280:PSON65P250X250X100-8N,
U7,1,MAX4466EXK,,,,MAX4466EXK:SOT65P210X110-5N,
VR1,1,LM1117MPX-3.3,,,,LM1117MPX-3.3:VREG_LM1117MPX-3.3,
